ETG,T-type,Arm Class,Bar,Disk,Ring,Core,Multiple,Compactness,AGN,Pseudobulge,BCG,cD,M_BH,M_BH_std,M*_sph,M*_disk,M*_gal,log_B/T,log_D/T,m_#_of_arms,phi,log_sigma0,log_v_max,M_DM,log_R_e_sph_maj,log_R_e_sph_eq_kpc,log_n_sph_maj,log_n_sph_eq,"log(I_e,sph,maj/M_Sun/pc^2)","log(I_e,sph,eq/M_Sun/pc^2)",Concentration_Index,avg_Rho_1kpc_Exact_All,r1_density_approx,log10(R10_kpc),logRho_R10_approx,log_rho10_Exact,log10(R90_kpc),logRho_R90_approx,log_rho_90_Exact_all,Rho_re_spatial,SR_pc_All,Rho_SR_pc_All,CR_def1_approx_new,Rho_cr_def1_approx_new,CR_def2_approx_new,Rho_CR_def2_approx_new,Sr(pc)_2_using_Falserm_drho,Log_Approx_Avg_density_10pc,log_Rho_e_Exact_new,logRho_e_approx_New,logRho_soi_approx_new,log_Rho_soi_exact_new,Rb_maj,Rb_maj_kpc,Rb_eq_kpc,Avg_Rho_Re_Exact_all,Avg_Rho_soi_exact_all,Avg_Rho_re_Exact_all,Rho_re_Exact_all,r_soi_2BH_approx,Rho_r_soi_2BH_approx,Log_Avg_Rho_10kpc_approx,Log_Avg_Rho_10kpc_exact_final,Log_Avg_Rho_100pc_approx,Log_Avg_Rho_5kpc_approx,Log_Avg_rho_5kpc_exact_all,brief,ube,bve,mg2,dc,ubtc,bvtc,bri25,m21c,hic,mabs,logblum
1,-4.1,,0,0.0,0,1.0,0,0,0.0,0,0,0,9.57,0.06,11.13,,11.13,0.0,,,,2.477656555,,,0.79,0.79,0.88,0.87,2.169878168,2.0535739,0.581,4.51798,1048.2,-0.363211626,0.913571222,0.912060338,1.8162442,-5.351486256,-5.351486256,0.00392488,158.48,74.20941173,158.48,75.16249441,70.11,401.9455986,4.61,4.537602312,-2.034947917,-2.035584804,1.778546113,1.774864192,1.493034,0.368032881,0.367285,0.0594463,180.739,0.031598,0.00444242,315.0,16.8619,-1.775922966,-1.775922966,2.74036111,-1.005954862,-1.005954862,,0.61,1.1,0.326,30.82962016,0.453,0.915,23.221,,,-21.079,10.6076
1,-4.6,,0,0.0,0,1.0,0,0,0.0,0,0,0,10.25,0.04,12.06,,12.06,0.0,,,,2.52040492,,,1.41,1.22,0.85,0.71,1.765122381,2.037480257,0.379,6.07137,1495.7,0.215338823,-0.083755989,-0.085787678,2.022222565,-5.175294913,-5.182845286,0.001575585,138.55,81.02790288,138.55,84.36219569,909.63,2.787168016,24.98,3.863015923,-2.443620016,-2.445340204,0.709754701,0.703891755,4.21719746,1.416978347,0.798576,0.018667,12.7261,0.01007,0.00175015,1267.6,1.42002,-1.302705256,-1.302705256,2.463625763,-0.624425997,-0.624425997,22.528,0.585,1.035,0.322,70.22480271,0.52,0.923,23.383,,,-22.416,11.1424
1,-2,,1,1.0,1,0.0,0,0,0.0,0,0,0,7.15,0.6,9.67,10.06,10.21,-0.54,-0.15,,,2.149557792,,,-0.44,-0.73,0.36,0.18,3.486388583,3.898388583,0.242,0.895195,486.0,-1.313368301,2.364340717,2.359557879,-0.287418232,-0.104236772,-0.106078596,10.26738612,112.912,59.03197884,113.18,59.54648698,124.56,49.38966126,5.35,3.240384468,1.325612243,1.321655974,3.514325512,3.406873885,,,,53.93,3137.08,32.5029,10.7098,18.6,705.801,-3.038597892,-3.038651532,2.167810437,-2.135507905,-2.135507905,20.634,0.545,0.955,0.246,13.15036161,0.375,0.842,23.548,,,-18.754,9.6776
1,-4.7,,1,1.0,0,0.0,0,0,0.0,0,0,0,7.18,0.35,9.49,10.04,10.15,-0.66,-0.11,,,2.187605315,,,-0.61,-0.63,0.11,0.08,3.472752414,3.532752414,0.24,0.570331,465.7,-1.159330134,1.706185638,1.700865847,-0.227699305,-0.405058272,-0.407042583,3.393563062,59.992,58.64224142,62.61,56.99959713,193.01,10.76301288,4.52,2.510922417,0.849408755,0.845199996,2.755818995,2.583795867,,,,15.7629,435.312,9.84337,3.65422,38.0,93.8844,-3.230959604,-3.230959604,1.7102748,-2.327869802,-2.327869802,21.099,0.41,0.975,0.295,8.461690098,0.489,0.889,22.764,,,-18.739,9.6716
1,-2.1,,0,1.0,0,0.0,0,0,0.0,0,0,0,8.0,0.31,,,,,,,,2.34613773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.855,0.74,1.155,0.285,12.8663023,0.472,0.896,23.363,,,-19.614,10.0216
1,-1,,1,1.0,1,0.0,0,0,1.0,1,0,0,7.59,0.09,9.37,10.01,10.1,-0.73,-0.09,,,2.283120235,2.259808823,,-0.84,-0.85,0.13,0.1,3.88924756,3.98524756,0.249,0.316092,315.9,-1.536502395,2.5704117,2.565220233,-0.582118817,0.370904713,0.368943196,22.94612361,103.24,44.02937707,103.19,44.63634796,79.52,78.23006028,3.63,3.161161504,1.66881777,1.664653032,3.285021717,3.215740157,,,,107.595,1997.82,66.1609,23.7694,33.8,308.201,-3.50010544,-3.50010544,2.043798319,-2.59701511,-2.59701511,20.584,0.695,1.065,0.29,7.619490919,0.503,0.891,22.839,14.116,3.099,-18.447,9.5548
1,-4.8,,0,0.0,0,1.0,0,0,0.0,0,1,0,9.62,0.08,11.86,,11.86,0.0,,,,2.492718494,,,1.44,1.15,0.88,0.82,1.551423234,1.935423234,0.49,6.51474,1366.9,0.011329386,0.284894341,0.283229817,2.061604492,-5.575809101,-5.575809101,0.001487127,163.126,85.81775298,164.44,86.05476675,263.29,34.25112526,11.1,4.346531386,-2.464854197,-2.466188957,1.958029152,1.950013635,,,,0.0205939,222.317,0.011086,0.00168262,264.8,33.8625,-1.44294417,-1.443433384,2.721879833,-0.720271474,-0.721619138,,0.565,1.03,0.316,64.129866,,0.921,23.798,,,-21.757,10.8788
1,-2.9,,0,1.0,0,0.0,0,0,0.0,0,0,0,8.94,0.25,10.87,10.18,10.95,-0.08,-0.77,,,2.415357362,2.027104866,,0.29,0.19,0.64,0.71,3.044384164,2.972384164,0.577,4.48502,1003.0,-0.771023617,1.840188191,1.838163405,1.039192554,-3.262085199,-3.268196445,0.130213385,161.349,76.66737717,161.62,76.52071486,92.93,238.9493797,6.59,4.412820171,-0.524958191,-0.52667222,2.805623273,2.798714493,,,,1.55031,1505.15,0.836075,0.145003,78.8,331.081,-1.924070007,-1.92406636,2.733879879,-1.097564119,-1.097157631,,0.585,0.985,0.29,19.60486085,0.474,0.898,23.017,13.174,3.303,-20.052,10.1968
1,-2.1,,1,1.0,1,0.0,0,0,0.0,0,0,0,8.3,0.12,10.12,10.57,10.7,-0.58,-0.13,,,2.316033282,,,-0.37,-0.63,0.46,0.23,3.731577943,4.115577943,0.242,2.4231,666.8,-1.236315544,2.585403912,2.580948119,-0.151728831,-0.096667121,-0.098386883,13.1053911,150.421,73.16236127,150.95,73.73551674,139.71,86.24968665,6.42,3.621089637,1.437950326,1.43420425,3.162920521,3.137142557,,,,75.264,1976.54,44.3761,13.6578,48.2,500.579,-2.584948152,-2.584948152,2.500745416,-1.681861505,-1.681798882,20.936,0.5,0.89,,21.27761687,0.436,0.856,23.172,,,-20.049,10.1956
1,-4.3,,0,0.0,0,1.0,0,0,0.0,0,0,0,9.35,0.05,,,,,,,,2.416707061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.575,1.055,0.335,40.4487506,0.473,0.905,23.697,,,-20.521,10.3844
