Galaxy,log(M_BH/M_Sun),log(M_S/M_Sun),log(M_sph/M_Sun),log(M_DM/M_Sun),log(B/T),log(sigma0),log(Rho_soi)
g1.62e12,7.612933971036838,10.324635260358287,9.537761211076603,11.966049860295989,-0.7868740492816837,1.566339014038082,2.113815287873968
g2.07e13,9.455251153987865,11.71018677372451,11.076905389179498,13.314642246776945,-0.633281384545013,2.0318638874743815,3.0250827239523947
g2.37e12,8.295789151032968,10.74520831981608,10.656064875642258,12.280254575371497,-0.08914344417382132,1.9100363387145778,2.109275818517105
g3.26e13,9.608917057944945,11.75084793959522,10.88675781305484,13.46163107886239,-0.8640901265403793,1.9369418086052188,3.3685927856478015
g3.89e13,9.703065661606011,11.944906627831214,11.460756637997077,13.497410153574684,-0.4841499898341366,2.229002702630002,2.8786196012593015
g4.84e12,8.65594919176597,10.968480116687006,10.626928883986189,12.566381454128841,-0.34155123270081866,1.8647989146473827,2.5599107073844976
g6.53e12,8.727618840056099,11.126042935601328,11.075018460328273,12.580525210928155,-0.051024475273053364,2.058491773801122,2.2441946373671477
g7.50e12,9.323788591311287,11.119711908184584,10.896496074720275,12.727351937625393,-0.22321583346430768,2.0796734443382507,2.798001047548079
g8.08e12,9.001677774944351,11.262214475745388,11.262214475745388,12.8265159261794,0.0,2.0913485712805375,2.452539977296569
g1.05e13,9.182962282748392,11.390615917379973,11.03389975934931,12.898228222846681,-0.3567161580306629,2.0658991641095668,2.684723299442551
g1.26e12,7.551987066899925,10.481453717492366,10.323704521985345,11.989947988137489,-0.15774919550701944,1.721685352113095,1.7421757075870279
g1.54e13,9.170278590777299,11.401614210185814,11.11069393337208,12.997999269962655,-0.29092027681373367,2.044527410855882,2.7147831139788283
g1.63e13,9.255027222856647,11.536678415183149,11.215957590847964,13.118482388312108,-0.32072082433518495,2.1714244930617292,2.545737581646482
g2.37e13,9.586224903341396,11.714388899244309,11.205560030593665,13.31465471650782,-0.508828868650644,2.0611623713063065,3.097459505642077
g3.42e12,8.115757722154964,10.919719474838761,10.919719474838761,12.267929650417367,0.0,1.9504896095072861,1.8483378480536847
g4.41e12,8.876858611885325,11.012823482528262,10.896670018315673,12.538037986671789,-0.11615346421259026,1.8939351079566311,2.7225477408853567
g5.22e12,8.620910918324395,10.97824186951885,10.462328934170628,12.634988568716267,-0.5159129353482215,1.8065635742955046,2.641343114646679
g6.57e12,8.75861948892253,11.185010736182461,10.981068202434791,12.691889380960326,-0.20394253374766946,2.0187236125808794,2.354731608674065
g7.55e12,8.801779186467819,11.119762345886663,10.731123297284068,12.775937233118702,-0.3886390486025958,1.929890531345686,2.5755574686897402
g8.45e12,8.799099280360286,11.188768013700834,11.10238730809813,12.7051820365457,-0.08638070560270375,2.0539450449322394,2.3247685354091
g1.14e13,9.155394261780707,11.426730599931167,11.195459448491063,12.949531026087763,-0.23127115144010416,2.15605791509304,2.47683777650792
g1.27e12,7.842678660525788,10.583763033045434,10.479579351762645,11.913214624594046,-0.10418368128278935,1.8446649215354867,1.7869081623681082
g1.55e12,7.88210201390887,10.633667629350995,10.567653682539692,12.01805245533767,-0.06601394681130317,1.9334072094004273,1.6488469400213086
g1.87e13,9.29671320429216,11.505365537174749,11.111716695038462,13.18125819287642,-0.39364884213628804,2.08754508167465,2.7551823858561533
g2.11e13,9.472344008826667,11.682421142713709,11.291410520094942,13.236399132174277,-0.3910106226187669,2.1353635013191314,2.835176351101697
g2.58e13,9.5254657242626,11.830419736982694,11.419423457537205,13.390257593542731,-0.41099627944549,2.1952480177471023,2.768529033681689
g3.74e12,8.468108314201837,10.87519549456724,10.602669895904297,12.473623216387509,-0.2725255986629429,1.963225645787102,2.175216367540926
g4.55e12,8.753188637796818,10.916829485235889,10.701489698560877,12.57191268138165,-0.21533978667501155,1.932540582711402,2.521666817287308
g5.41e12,9.135322982432518,11.247877159483233,11.140556061586159,12.602915890620926,-0.10732109789707464,2.1152420211918703,2.53839828496207
g6.70e12,8.83802549482251,11.543713237529577,11.090427849144985,12.77452939858461,-0.45328538838459076,2.2750375996382406,1.921509640459321
g7.71e12,8.939471570826267,11.194364541534462,10.916998700160894,12.757929379155746,-0.27736584137356723,1.9645224121716152,2.64398609139633
g8.94e12,8.974815377518256,11.207773736784288,11.004353253343758,13.036101362311038,-0.20342048344052965,2.0513817620014554,2.5056111984286398
g1.17e13,9.008761371435492,11.594244735786468,11.228215024326827,13.08834992040287,-0.3660297114596399,2.1167238788053044,2.4088729587381756
g1.33e13,9.240892760136456,11.590526110393865,11.421356472887227,13.047561916095399,-0.16916963750663733,2.228254698791129,2.417942707467491
g1.57e13,9.142127629000719,11.44157983535049,10.92847917703659,13.119295143264292,-0.5131006583139013,1.9687549775412467,2.838177018831518
g2.02e13,9.588768847615851,11.627675828432958,11.42317560233516,13.162954548101352,-0.2045002260977982,2.2246667752987332,2.7729946419316787
g2.20e13,9.463896413912307,11.464126530265611,11.130920646118494,13.067398138989024,-0.33320588414711766,2.215463824761782,2.6665281093020368
g2.71e12,8.19481427855326,10.578333148671412,10.46501233086943,12.316799665349308,-0.11332081780198092,1.8725237507009707,2.0833261220646113
g3.78e13,9.46841669708444,11.732238363967857,11.14642619078184,13.345345146550844,-0.5858121731860166,2.07561782907391,2.9507403838499133
g4.81e12,8.709593021276536,11.024953021658144,10.89875087047295,12.626221380780523,-0.12620215118519432,1.9974924208251492,2.3481675245395306
g5.53e12,8.73588777035879,10.96327311457667,10.888525203479432,12.626057187337743,-0.07474791109723987,2.03898977410436,2.291467567063363
g6.86e12,8.904601512927957,11.184510269911996,10.7870068839641,12.7732137643619,-0.39750338594789686,1.9653922109943913,2.6073764358524683
g7.92e12,9.056659270193505,11.565457188540803,11.541234128303525,12.788915685334114,-0.024223060237276686,2.2616394142656993,2.1669397865753988
g9.61e12,9.02505527299518,11.228289565462894,11.096679263275131,12.882549280040895,-0.1316103021877624,1.99491390644666,2.6687868050151544
